3015 Csány, Csillag u. 27. | állam
3291 Vámosgyörk, István király u. 1. | állam
3300 Eger, Petőfi u. 26/b. | állam
3240 Parád, Toldi u.14. | állam
6800 Hódmezővásárhely, Serháztér u. 6. | többcélú kistérségi társulás
3792 Sajóbábony, Bocskai u. 3. | alapítvány
6783 Ásotthalom, Királyhalmi u.2-4. | többcélú kistérségi társulás
4264 Nyírábrány, Határőr u.89. | önkormányzat
1214 Budapest, Simon Bolivár st.1/a | önkormányzat
2120 Dunakeszi, Kincsem köz 1. | önkormányzat
4800 Vásárosnamény, Bartók B.u.20/a | önkormányzat
5540 Szarvas, Bethlen G. u. 27-29. | többcélú kistérségi társulás
3300 Eger, Berva-völgye, 2. sz. lakótelep sz.ép. | önkormányzat
4450 Tiszalök, Kossuth u. 68. | önkormányzati társulás
9375 Répceszemere, Fő u.28. | önkormányzat
2336 Dunavarsány, Erőspuszta | egyéb gazdasági társaság
4064 Nagyhegyes, Rákoczi u.2. | önkormányzat
7300 Komló, Jószerencsét u.32. | non-profit szervezet
5520 Szeghalom, Kossuth u. 18. | többcélú kistérségi társulás
3672 Borsodnádasd, Móricz Zs. u. 4. | állam
3950 Sárospatak, József A. u. 10. | állam
7213 Szakcs, Petőfi tér 10. | önkormányzat
7150 Bonyhád, Szabadság u. 2. | önkormányzat
8757 Csömödér, Rákóczi F. u. 33. | non-profit szervezet
4273 Hajdúbagos, Ovódaköz 1. | önkormányzat
4455 Tiszadada, Kossuth tér 4. | önkormányzat
8975 Szentgyörgyvölgy, Kossuth u.56. | önkormányzat
9083 Écs, Kápolna u.4. | közhasznú alapítvány
3600 Ózd, Dózsa Gy. u. 50. | állam
2016 Leányfalu, Szt. Imre Herceg u. 1. | református egyház
2030 Érd, Topoly  u. 2. | önkormányzat
1021 Budapest, Szerb A. u. 13-17. | katolikus egyház
1051 Budapest, Nádor u. 6. III. em. | önkormányzat
9028 Győr, Lepke u.37. | önkormányzat
2760 Nagykőrös, Arany J. u. 35. | önkormányzat
7751 Szederkény, Pécsi u. 23. | non-profit szervezet
7300 Komló, Mecsekjánosi puszta 3. | non-profit szervezet
6136 Harkakötöny, Bem u. 2. | többcélú kistérségi társulás
2700 Cegléd, Bajcsy Zs. u. 1. | többcélú kistérségi társulás
3281 Karácsond, Szent István u.37. | önkormányzat
7275 Igal, Farkas János u. 1-3. | egyéb gazdasági társaság
1201 Budapest, Vörösmarty u. 56. | non-profit szervezet
8788 Zalaszentlászló, Széchenyi u.2. | önkormányzat
4400 Nyíregyháza, Rozsnyó u. 33. | református egyház
8623 Balatonföldvár, Széchenyi u. 2. | egyéb gazdasági társaság
2081 Piliscsaba, Béla király utja  96. | non-profit szervezet
2081 Piliscsaba, Kálmán kir. u. 15. | katolikus egyház
9091 Ravazd, Paphegy u. 1. | alapítvány
4741 Jánkmajtis, Kossuth u. 2. | önkormányzat
5231 Fegyvernek, Angolkert út 1. | állam
5130 Jászapáti, Juhász M.u.2-4. | állam
5130 Jászapáti, Hősök tere 7. | állam
5126 Jászfényszaru, Bajcsy Zs. út 7. | önkormányzat
2119 Pécel, Pesti u. 2. | katolikus egyház
6200 Kiskőrös, Rákóczi u. 165. | evangélikus egyház
7754 Bóly, Hősök tere 4. | önkormányzat
4183 Kaba, Cukorgyári Lakótelep | non-profit szervezet
2730 Albertirsa, Dózsa Gy. út. 7. | evangélikus egyház
8282 Mindszentkálla, Rákoczi út 16. | önkormányzat
